post_type,post_status,post_id,renban,todohuken_no,tax_todofuken,post_title,custom_postalcode,custom_address_city,custom_address,custom_phone,custom_fax,custom_openinghours,tax_is_emergency_contact,custom_emergency_contact_phone,pharmacist_name
,,,,,沖縄県,くくる薬局,900-0003,那覇市安謝1-10-30,098-943-7500,098-943-7501,月・火・木・金9：00～19：00水・土9：00～17：00,無,,1,越智 祐佳
,,,,,沖縄県,共創未来天久薬局,900-0005,那覇市天久９１０,098-860-7881,098-860-7882,月～金・祝9:00～19:00土9:00～14:00　　　　　　　　　　　　　　　　　　,無,,1,渡久地　教子
,,,,,沖縄県,ドラッグイレブン薬局新都心おもろまち店,900-0006,那覇市おもろまち３－５－２２,098-860-3335,098-860-3337,月～土9:00～18:00,有,080-2777-0243,2,眞榮城　瑞恵、深山　翔太
,,,,,沖縄県,とまり薬局,900-0012,那覇市泊１－１１－７,098-866-1786,098-866-1786,月～金9:00～18:00土9:00～13:30,無,,2,小林　由美子、鈴木　聡子
,,,,,沖縄県,ミント薬局,900-0013,那覇市牧志２－１７－１７,098-862-8887,098-862-8967,月・火・木・金・土9:00～18:00,無,,1,松本　圭五
,,,,,沖縄県,沖映通り薬局,900-0013,那覇市牧志２－１７－１,098-861-7912,098-861-9790,月火水金8:30～18:00木9:00～18:00土8:30～12:30,無,,1,玉村　友利香
,,,,,沖縄県,まつお虹薬局,900-0014,那覇市松尾２－１７－３０　宇地原ビル１Ｆ,098-869-1234,098-869-1267,月火木金9:00～17:30水9:00～17:00土9:00～13:00,無,,3,儀間　祐希、上原　里緒、玉城　三十美
,,,,,沖縄県,ぴぃぷる薬局与儀店,900-0022,那覇市桶川１－１８－４０,098-831-4954,098-831-7523,月～水・金9:00～18:00水9:00～17:00土9:00～13:00日・祝休み,有,080-1798-4954,3,我喜屋　智香子、仲里　すが子、重井　知可子
,,,,,沖縄県,こくら虹薬局,900-0024,那覇市古波蔵４－１０－５３,098-835-9280,098-835-9281,月～金9:00～21:00土9:00～17:00,有,098-835-9280,17,備瀬　愛実、比嘉　仁、野村　久子、町田　里穂、金城　千春、上原　幸代、久手堅　奈央、兼城　明子、湧田　英恵、新崎　理奈、田島　小百合、平良　栄子、長嶺　奈津子、岡野　敦子、玉城　祐太朗、池原　小夏、久場川　愛
,,,,,沖縄県,そうごう薬局 壺川店,900-0025,那覇市壺川1-13-7,098-833-1311,098-833-1312,月・火・水・金9：00～18：00木・土9：00～16：00,有,098-833-1311,1,黒島 祐二
,,,,,沖縄県,薬志堂薬局小禄店,901-0152,那覇市小禄５５６－１,098-859-1245,098-859-1244,月～金9:00～18:00土9:00～13:00,無,,2,荷川取　美奈子、田中　寛子
,,,,,沖縄県,和ごころ薬局さつき店,901-0153,那覇市宇栄原３－１４－１２,098-857-6111,098-857-6767,月～土9:00～18:00,無,,1,比嘉　幸乃
,,,,,沖縄県,イオン薬局那覇店,901-0155,那覇市金城５－１０－２,098-891-8211,098-891-8212,月～金11:00～18:00,無,,2,鈴木　菜実子、野澤　一輝
,,,,,沖縄県,オリーブ薬局小禄店,901-0156,那覇市田原３－１－１２　第２丸元ビル１０１,098-996-2255,098-996-1584,月～水・金9:00～19:30木9:00～15:00土9:00～18:00,有,090-9912-1393,1,宮里　裕美
,,,,,沖縄県,いちご薬局真玉橋店,901-0201,豊見城市真玉橋２８５－１　－１Ｆ,098-996-3115,098-996-3116,9:00～18:00日・祝休み,無,,1,七五三掛　弘江
,,,,,沖縄県,そうごう薬局 豊見城店,901-0213,豊見城市高嶺395-103,098-891-7771,098-891-7772,月～水・金8：30～17：30木8：30～16：30土8：30～12：30,応相談,098-891-7771,1,南雲 翔太
,,,,,沖縄県,ミルク薬局 豊見城店,901-0241,豊見城市豊見城293-2,098-852-2666,098-852-2667,月～水・金9：00～12：00木9：00～17：00土9：00～18：00,有,070-1738-0729,1,松本 高信
,,,,,沖縄県,会営薬局とよみ,901-0244,豊見城市宜保２７１－１,098-856-4160,098-856-6026,月～金8:30～18:30土8:30～13:00,無,,2,宮里　威一郎、宮城　良枝
,,,,,沖縄県,あはごん薬局,901-0301,糸満市阿波根１５５２－５,098-995-1256,098-995-6036,月～金9：00～18：00土9：00～17：00,無,,3,宮平　早苗、松田　孝二、津波古　美香
,,,,,沖縄県,ゆい潮平薬局,901-0302,糸満市潮平７６７－１９,098-992-6122,098-995-9133,月～金900～18:00土9:00～13:00,無,,2,橋本　美津子、長瀬　涼
,,,,,沖縄県,りんご調剤薬局 糸満店,901-0334,糸満市大度515-1,098-997-4778,098-997-4788,月～金9：00～18：00,無,,2,宮武 愛美、永村 亮
,,,,,沖縄県,ゆい薬局 真栄里店,901-0362,糸満市真栄里2024-3,098-994-4193,098-994-4194,月～金9：00～18：00土9：00～13：00,無,,1,福田 篤
,,,,,沖縄県,りんご調剤薬局 東風平店,901-0401,八重瀬町東風平1209-16,098-987-4768,098-987-4797,"月・火・木・金9：00～18：00水8：45～16：45
土9：00～13：00",無,,1,崎浜 康豊
,,,,,沖縄県,日本調剤南部薬局,901-0417,島尻郡八重瀬町外間１８４－１,098-851-9066,098-851-9077,月〜金9:00〜18:00 土9:00〜13:00,無,,1,上原　優花
,,,,,沖縄県,とくりん薬局,901-1103,南風原町与那覇283,098-889-3580,098-889-3589,月～土9：00～18：00,無,,3,"新垣 智恵美、牧野 真麗乃
羽地 早希、新垣 愛梨"
,,,,,沖縄県,あおぞら薬局,901-1103,南風原町与那覇２３６－１,098-835-6633,098-835-6630,月～水・金・土8:30～18:30木8:30～13:30,無,,2,知念　大輔、伊敷　さゆり
,,,,,沖縄県,りんご薬局 新川店,901-1105,南風原町新川217-4,098-894-6356,098-894-6357,月～土9：00～18：00,無,,2,福地 愛、宮里 朋未
,,,,,沖縄県,すこやか薬局新川店,901-1105,南風原町新川１０１－３,098-882-7111,098-882-7112,月～金9:00～18:30土9:00～12:00,無,,4,屋良　愛、寺本　奈都子、我喜屋　あかね、伊禮　早紀
,,,,,沖縄県,メルシー薬局 かねぐすく,901-1111,南風原町兼城656-3,098-888-3888,098-888-3889,月～金9：00～18：00土9：00～13：00,有,080-2304-9913,1,新垣 慶朗
,,,,,沖縄県,りんりん堂薬局,901-1208,南城市大里平良2568-2,098-882-0051,098-882-0052,月・火・木・金8：30～18：00水・土8：30～13：00,有,098-882-0051,2,林 伸嘉、西盛 竜平
,,,,,沖縄県,みのり薬局,901-1304,与那原町東浜90-4,098-946-4690,098-894-2006,月～土9：00～18：00,有,090-8760-6715,1,前澤 梨紗
,,,,,沖縄県,くはら薬局,901-1505,南城市知念久原６９３,098-852-5740,098-852-5741,月～水・金9:00～19:00木9:00～18:00土9:00～13:00,無,,2,伊集　智英、西村　浩彦
,,,,,沖縄県,うらそえ虹薬局,901-2126,浦添市宮城３－１－５－１,098-870-8660,098-875-6199,月・火・木・金9:00～17:30水9:00～17:00土9:00～13:00,有,098-870-8660,1,鹿谷　友理恵
,,,,,沖縄県,サンアイ薬局 ぐすくま,901-2133,浦添市城間３－３－１,098-988-3223,098-988-3224,火・木・金8:00～18:00水8:00～17:00土7:30～17:00,有,080-8450-5936,1,粟国　麻絵
,,,,,沖縄県,とくりん薬局城間店,901-2133,浦添市城間1-37-19,098-988-1522,098-988-6670,月・火・木～土9:00～19:00,有,098-895-1522,1,真崎　しのぶ
,,,,,沖縄県,すこやか薬局野嵩店,901-2203,宜野湾市野嵩１－１０－１１,098-892-4111,098-892-4116,月・火・木・金9:00～18:00水9:00～17:00土9:00～12:00,無,,2,金城　由美子、宮良　彩
,,,,,沖縄県,りんご薬局 宜野湾店,901-2211 ,沖縄県宜野湾市宜野湾3-3-10,098-896-0191,098-896-0288,"月～金 8：30～18：00‬
土 8：30～13：00‬",有,098-896-0191,4,佐久本　芳恵、伊佐 要一、大栗 良太、笠原 哲
,,,,,沖縄県,ゆい薬局 長田店,901-2212,宜野湾市長田1-26-17,098-896-0700,098-896-0707,月・火・木・金9：00～18：30水9：00～17：00土9：00～13：00,有,070-5532-0701,1,喜友名 秀幸
,,,,,沖縄県,がねこ薬局,901-2214,宜野湾市我如古３－８－８,098-942-2888,098-942-2885,月～金8:30～17:30土8:30～12:30,無,,4,上間　睦美、金城　守、山入端　まどか、新垣　麻衣子
,,,,,沖縄県,うちどまり薬局,901-2227,宜野湾市宇地泊８１８,098-890-0088,098-890-0033,月～土9:00～18:00,無,,2,村田　美智子、與儀　明美
,,,,,沖縄県,日本調剤中部薬局,901-2305,中頭郡北中城村比嘉595-3 丸清アパート 1階,098-931-9701,098-931-9702,月～金9：00～20：00　土9：00～15：00,無,,1,上原　知起
,,,,,沖縄県,すこやか薬局ライカム店,901-2305,北中城村比嘉４９４－１,098-923-2234,098-933-7132,月～金9:00～18:00土9:00～13:00,無,,3,松田　絵理菜、竹村　智子、親川　大地
,,,,,沖縄県,株式会社たいよう薬局東店,901-3112,島尻郡久米島町宇真我里75-8,098-985-8040,098-985-8041,月～金　9：00～18：00土　9：00～13：00,有,090-6861-1969,2,西村　浩子、山城　晶
,,,,,沖縄県,株式会社たいよう薬局,901-3121,島尻郡久米島町嘉手苅1364-1,098-985-4401,098-985-4402,月　9：00～17：00火～土9：00～18：00,有,090-7585-2449,5,藤脇　啓子、桃原　華子、竹田　彰宏、山城　晶、前田　有貴
,,,,,沖縄県,はれ薬局,902-0064,那覇市寄宮153-1,098-836-6413,098-836-6439,月～金9：00～18：00土9：00～16：00,有,098-836-6413,1,喜友名 朝史
,,,,,沖縄県,おなは薬局,902-0067,那覇市安里３８８－１２７,098-884-2204,098-884-6035,月～土9:00～21:00,有,098-884-2204,1,小那覇　幸子
,,,,,沖縄県,はるはな薬局,902-0067,那覇市安里３９５－２,098－887-7287,098－894-3875,月～水、金9：00～18：00木・土9：00～13：00,有,080-9851－4309,1,太田井　寛
,,,,,沖縄県,すこやか薬局松島店,902-0069,那覇市松島２－１－１４ NFレジデンス松島２階,098-917-5093,098-884-8093,月～金9:00～18:00土9:00～13:00,無,,5,古堅　直也、奥野　聖子、河村　美希、川島　尭、仲栄真　夕夏
,,,,,沖縄県,吉田薬局はんたがわ店,902-0071,那覇市繁多川５－２３－１,098-854-1155,098-831-6190,月～金10:00～18:00,有,090-3273-8245,1,吉田　洋史
,,,,,沖縄県,ぐすく薬局,902-0071,那覇市繁多川３－７－７,098-882-3139,098-882-3140,月～金9:00～18:00土9:00～13:00,無,,2,又吉　智賀子、城間　司
,,,,,沖縄県,りんご調剤薬局 上間店,902-0073,那覇市上間336-7,098-996-2697,098-996-2698,火・水・金9：00～13：00、14：30～18：00土9：00～17：30,無,,1,仲宗根 かおり
,,,,,沖縄県,そうごう薬局 新赤十字前店,902-0076,那覇市与儀1-18-18,098-833-6721,098-833-6722,月～金9：00～18：00土9：00～13：00,有,098-833-6721,1,西川 裕
,,,,,沖縄県,日本調剤 那覇中央薬局,902-0076,那覇市与儀1-5-6,098-833-8446,098-833-8447,月～金9：00～18：00土9：00～13：00,有,080-2025-7794,1,岩間 絵里子
,,,,,沖縄県,はづき薬局,902-0076,那覇市与儀３６８－１８,098-834-6863,098-834-6873,月～土9:30～20:00,有,090-3795-4306,1,普天間　公子
,,,,,沖縄県,薬志堂薬局寄宮店,902-0077,那覇市長田１－６－１,098-851-7707,098-851-7766,月・火・木・金9:00～19:00土9:00～18:00,無,,2,小川　未加、照屋　有紀
,,,,,沖縄県,がじまる薬局,903-0103,西原町小那覇１６０２－１,098-835-8800,098-835-8193,月・水・金9:30～19:00火・木9:30～17:30土13:30～17:30,無,,4,石井　真喜子、高里　麻子、早川　美沙、松村　翔子
,,,,,沖縄県,カナン薬局,903-0116,西原町幸地724-1,098-944-2477,098-944-2476,月～木・日9:00～18:00,無,,2,鍛治　礼子、吉村　瑞枝
,,,,,沖縄県,にしばる薬局,903-0121,西原町内間５０８－１,098-944-2222,098-944-1113,月・水・金8:30～17:30火・木8:30～19:00土8:30～13:30,有,090-2502-5081,1,草壁　瑞恵
,,,,,沖縄県,会営薬局うえはら,903-0125,中頭郡西原町上原１－２６－１,098-946-1185,098-944-0567,月～金8:30～18:30,無,,1,中曽根　鳴香
,,,,,沖縄県,たいせい堂薬局 首里店,903-0804,那覇市首里石嶺町2-1,098-882-1414,098-882-1567,月～土8：30～18：00,有,098-882-1414,1,大塚 成一郎
,,,,,沖縄県,ぎぼ駅前薬局,903-0821,那覇市首里儀保町1-27,098-882-2150,098-882-2150,月～金9：00～18：00土9：00～13：00,無,,1,飯生 竜也
,,,,,沖縄県,ゆい薬局,904-0203,嘉手納町嘉手納261,098-956-9777,098-956-9779,月～土9：00～18：00,有,070-5277-9778,2,"久場 弘太、新垣 むつ子
植木 智子"
,,,,,沖縄県,すこやか薬局　よみたん店,904-0305,読谷村都屋１６７－２－１,098-956-1093,098-956-5093,月・火・木・金9:00～18:00水・土9:00～12:30,無,,2,松本　圭史、村田　成夫
,,,,,沖縄県,うらしま薬局,904-0324,読谷村長浜１７４３－２,098-923-3101,098-923-3102,月～金8:30～17:30土8:30～12:30,無,,1,浦嶋　紀久子
,,,,,沖縄県,すこやか薬局 登川店,904-2142,沖縄市登川495-1,098-923-1320,098-934-1233,月～金8：30～18：00土8：30～13：00,無,,2,"後藤 彬宏、井福 学
宮里 さつき"
